ball_x,ball_y,player_y
1031,59,231
1038,52,224
1045,45,217
1052,38,210
1059,31,203
1066,24,196
1073,17,189
1080,10,182
1087,3,175
1094,-4,168
1101,3,161
1108,10,154
1115,17,147
1122,24,140
1129,31,133
1136,38,126
1143,45,119
1150,52,112
1157,59,105
1164,66,98
1171,73,91
1178,80,84
1185,87,77
1192,94,70
1199,101,63
1206,108,56
1213,115,49
1220,122,42
1227,129,35
1234,136,28
1227,143,21
1220,150,21
1213,157,21
1206,164,21
1199,171,21
1192,178,21
1185,185,28
1178,192,35
1171,199,42
1164,206,42
1157,213,42
1150,220,42
1143,227,42
1136,234,49
1129,241,56
1122,248,63
1115,255,70
1108,262,77
1101,269,84
1094,276,91
1087,283,98
1080,290,105
1073,297,112
1066,304,119
1059,311,126
1052,318,133
1045,325,140
1038,332,147
1031,339,154
1024,346,161
1017,353,168
1010,360,175
1003,367,182
996,374,189
989,381,196
982,388,203
975,395,210
968,402,217
961,409,224
954,416,231
947,423,238
940,430,245
933,437,252
926,444,259
919,451,266
912,458,273
905,465,280
898,472,287
891,479,294
884,486,301
877,493,308
870,500,315
863,507,322
856,514,329
849,521,336
842,528,343
835,535,350
828,542,357
821,549,364
814,556,371
807,563,378
800,570,378
793,577,378
786,584,378
779,591,378
772,598,378
765,605,378
758,612,378
751,619,385
744,626,392
737,633,399
730,640,406
723,647,413
716,654,420
709,661,427
702,668,434
695,675,441
688,682,448
681,689,448
674,696,448
667,703,448
660,710,448
653,717,448
646,724,448
639,731,448
632,738,448
625,745,448
618,752,448
611,759,448
604,766,448
597,773,448
590,780,448
583,787,448
576,794,448
569,801,448
562,808,448
555,815,448
548,822,448
541,829,441
534,836,434
527,843,427
520,850,420
513,857,413
506,864,406
499,871,399
492,878,392
485,885,385
478,892,378
471,899,378
464,906,378
457,913,378
450,920,378
443,927,378
436,934,378
429,927,378
422,920,378
415,913,378
408,906,378
401,899,378
394,892,378
387,885,378
380,878,378
373,871,378
366,864,378
359,857,378
352,850,378
345,843,378
338,836,378
331,829,378
324,822,378
317,815,378
310,808,378
303,801,378
296,794,378
289,787,378
282,780,378
275,773,378
268,766,378
261,759,378
254,752,378
247,745,378
240,738,378
233,731,378
226,724,378
219,717,378
212,710,378
205,703,378
198,696,378
191,689,378
184,682,378
177,675,378
170,668,378
163,661,378
156,654,378
149,647,371
142,640,364
135,633,357
128,626,350
121,619,343
114,612,336
107,605,329
100,598,322
93,591,315
86,584,308
79,577,308
72,570,308
65,563,308
58,556,308
51,549,308
44,542,308
37,535,308
30,528,308
23,521,308
16,514,308
23,507,308
30,500,308
37,493,308
44,486,308
51,479,308
58,472,308
65,465,308
72,458,308
79,451,308
86,444,308
93,437,308
100,430,308
107,423,308
114,416,308
121,409,308
128,402,308
135,395,308
142,388,308
149,381,308
156,374,308
163,367,308
170,360,308
177,353,308
184,346,308
191,339,308
198,332,308
205,325,308
212,318,308
219,311,308
226,304,308
233,297,308
240,290,308
247,283,308
254,276,308
261,269,308
268,262,308
275,255,308
282,248,308
289,241,308
296,234,308
303,227,308
310,220,308
317,213,308
324,206,308
331,199,308
338,192,308
345,185,308
352,178,308
359,171,308
366,164,308
373,157,308
380,150,308
387,143,308
394,136,308
401,129,308
408,122,308
415,115,308
422,108,308
429,101,308
436,94,308
443,87,308
450,80,308
457,73,308
464,66,308
471,59,308
478,52,308
485,45,308
492,38,308
499,31,308
506,24,308
513,17,308
520,10,308
527,3,308
534,-4,308
541,3,308
548,10,308
555,17,308
562,24,308
569,31,308
576,38,308
583,45,315
590,52,322
597,59,329
604,66,336
611,73,343
618,80,350
625,87,357
632,94,364
639,101,371
646,108,378
653,115,385
660,122,392
667,129,399
674,136,406
681,143,413
688,150,420
695,157,427
702,164,434
709,171,441
716,178,441
723,185,441
730,192,441
737,199,441
744,206,441
751,213,441
758,220,441
765,227,441
772,234,441
779,241,441
786,248,441
793,255,441
800,262,441
807,269,441
814,276,441
821,283,441
828,290,448
835,297,455
842,304,462
849,311,469
856,318,476
863,325,483
870,332,490
877,339,497
884,346,504
891,353,511
898,360,518
905,367,525
912,374,532
919,381,539
926,388,546
933,395,553
940,402,560
947,409,567
954,416,574
961,423,581
968,430,588
975,437,595
982,444,602
989,451,609
996,458,616
1003,465,623
1010,472,630
1017,479,637
1024,486,637
1031,493,637
1038,500,637
1045,507,637
1052,514,637
1059,521,637
1066,528,637
1073,535,637
1080,542,637
1087,549,637
1094,556,637
1101,563,637
1108,570,637
1115,577,637
1122,584,637
1129,591,637
1136,598,637
1143,605,637
1150,612,637
1157,619,637
1164,626,637
1171,633,637
1178,640,637
1185,647,637
1192,654,637
1199,661,637
1206,668,637
1213,675,637
1220,682,637
1227,689,637
1234,696,637
1227,703,637
1220,710,644
1213,717,651
1206,724,658
1199,731,665
1192,738,672
1185,745,679
1178,752,686
1171,759,693
1164,766,700
1157,773,707
1150,780,714
1143,787,714
1136,794,714
1129,801,714
1122,808,714
1115,815,714
1108,822,714
1101,829,714
1094,836,707
1087,843,700
1080,850,693
1073,857,686
1066,864,679
1059,871,672
1052,878,665
1045,885,658
1038,892,651
1031,899,644
1024,906,637
1017,913,630
1010,920,623
1003,927,616
996,934,609
989,927,602
982,920,595
975,913,588
968,906,581
961,899,574
954,892,567
947,885,560
940,878,553
933,871,546
926,864,539
919,857,532
912,850,525
905,843,518
898,836,511
891,829,504
884,822,497
877,815,490
870,808,483
863,801,476
856,794,469
849,787,462
842,780,455
835,773,448
828,766,441
821,759,434
814,752,427
807,745,420
800,738,413
793,731,406
786,724,399
779,717,399
772,710,399
765,703,399
758,696,399
751,689,399
744,682,399
737,675,399
730,668,399
723,661,399
716,654,392
709,647,385
702,640,378
695,633,371
688,626,364
681,619,357
674,612,350
667,605,343
660,598,336
653,591,336
646,584,336
639,577,336
632,570,336
625,563,336
618,556,336
611,549,336
604,542,336
597,535,336
590,528,336
583,521,336
576,514,336
569,507,336
562,500,336
555,493,336
548,486,336
541,479,336
534,472,343
527,465,350
520,458,357
513,451,364
506,444,371
499,437,378
492,430,385
485,423,392
478,416,399
471,409,399
464,402,399
457,395,399
450,388,399
443,381,399
436,374,399
429,367,399
422,360,399
415,353,399
408,346,399
401,339,399
394,332,399
387,325,399
380,318,399
373,311,399
366,304,399
359,297,399
352,290,399
345,283,399
338,276,399
331,269,399
324,262,399
317,255,399
310,248,399
303,241,399
296,234,399
289,227,399
282,220,399
275,213,399
268,206,399
261,199,399
254,192,399
247,185,399
240,178,399
233,171,399
226,164,399
219,157,399
212,150,399
205,143,399
198,136,399
191,129,399
184,122,399
177,115,399
170,108,399
163,101,399
156,94,399
149,87,399
142,80,399
135,73,399
128,66,399
121,59,399
114,52,399
107,45,399
100,38,399
93,31,399
86,24,399
79,17,399
72,10,399
65,3,399
58,-4,399
51,3,399
44,10,399
37,17,399
30,24,399
23,31,399
16,38,399
23,45,399
30,52,399
37,59,399
44,66,399
51,73,399
58,80,399
65,87,399
72,94,399
79,101,399
86,108,399
93,115,399
100,122,399
107,129,399
114,136,399
121,143,399
128,150,399
135,157,399
142,164,399
149,171,399
156,178,399
163,185,399
170,192,399
177,199,399
184,206,399
191,213,399
198,220,399
205,227,399
212,234,399
219,241,399
226,248,399
233,255,399
240,262,399
247,269,399
254,276,399
261,283,399
268,290,399
275,297,399
282,304,399
289,311,406
296,318,413
303,325,420
310,332,427
317,339,434
324,346,441
331,353,448
338,360,455
345,367,462
352,374,469
359,381,476
366,388,483
373,395,490
380,402,497
387,409,504
394,416,511
401,423,518
408,430,525
415,437,532
422,444,539
429,451,546
436,458,553
443,465,560
450,472,567
457,479,574
464,486,581
471,493,588
478,500,595
485,507,602
492,514,609
499,521,616
506,528,623
513,535,630
520,542,637
527,549,644
534,556,651
541,563,658
548,570,665
555,577,672
562,584,679
569,591,686
576,598,693
583,605,700
590,612,707
597,619,714
604,626,721
611,633,728
618,640,735
625,647,742
632,654,749
639,661,756
646,668,763
653,675,770
660,682,777
667,689,784
674,696,791
681,703,798
688,710,805
695,717,812
702,724,819
709,731,820
716,738,820
723,745,820
730,752,820
737,759,820
744,766,820
751,773,820
758,780,820
765,787,820
772,794,820
779,801,820
786,808,820
793,815,820
800,822,820
807,829,820
814,836,820
821,843,813
828,850,806
835,857,799
842,864,792
849,871,785
856,878,778
863,885,771
870,892,764
877,899,757
884,906,750
891,913,743
898,920,736
905,927,729
912,934,722
919,927,715
926,920,708
933,913,701
940,906,694
947,899,687
954,892,680
961,885,673
968,878,666
975,871,659
982,864,652
989,857,645
996,850,638
1003,843,631
1010,836,631
1017,829,631
1024,822,631
1031,815,631
1038,808,631
1045,801,631
1052,794,631
1059,787,631
1066,780,631
1073,773,631
1080,766,631
1087,759,631
1094,752,624
1101,745,617
1108,738,610
1115,731,603
1122,724,596
1129,717,589
1136,710,582
1143,703,575
1150,696,568
1157,689,561
1164,682,554
1171,675,547
1178,668,547
1185,661,547
1192,654,547
1199,647,547
1206,640,547
1213,633,547
1220,626,547
1227,619,540
1234,612,533
1227,605,526
1220,598,519
1213,591,512
1206,584,505
1199,577,498
1192,570,491
1185,563,484
1178,556,477
1171,549,470
1164,542,463
1157,535,456
1150,528,449
1143,521,442
1136,514,435
1129,507,428
1122,500,421
1115,493,421
1108,486,421
1101,479,421
1094,472,421
1087,465,421
1080,458,421
1073,451,421
1066,444,421
1059,437,421
1052,430,421
1045,423,421
1038,416,421
1031,409,421
1024,402,421
1017,395,421
1010,388,421
1003,381,421
996,374,421
989,367,421
982,360,421
975,353,421
968,346,421
961,339,421
954,332,421
947,325,421
940,318,421
933,311,421
926,304,421
919,297,421
912,290,421
905,283,421
898,276,421
891,269,421
884,262,421
877,255,421
870,248,421
863,241,421
856,234,421
849,227,421
842,220,421
835,213,421
828,206,421
821,199,421
814,192,414
807,185,407
800,178,400
793,171,393
786,164,386
779,157,379
772,150,372
765,143,365
758,136,358
751,129,351
744,122,344
737,115,344
730,108,344
723,101,344
716,94,344
709,87,344
702,80,344
695,73,344
688,66,344
681,59,344
674,52,344
667,45,344
660,38,344
653,31,337
646,24,330
639,17,323
632,10,316
625,3,309
618,-4,302
611,3,295
604,10,288
597,17,281
590,24,274
583,31,267
576,38,260
569,45,253
562,52,246
555,59,239
548,66,232
541,73,225
534,80,218
527,87,211
520,94,204
513,101,197
506,108,190
499,115,183
492,122,176
485,129,176
478,136,176
471,143,176
464,150,176
457,157,176
450,164,176
443,171,183
436,178,190
429,185,197
422,192,204
415,199,211
408,206,218
401,213,225
394,220,232
387,227,239
380,234,246
373,241,253
366,248,260
359,255,267
352,262,274
345,269,281
338,276,288
331,283,295
324,290,302
317,297,309
310,304,316
303,311,323
296,318,330
289,325,337
282,332,344
275,339,351
268,346,358
261,353,365
254,360,372
247,367,379
240,374,386
233,381,393
226,388,400
219,395,407
212,402,414
205,409,421
198,416,428
191,423,435
184,430,442
177,437,449
170,444,456
163,451,463
156,458,463
149,465,463
142,472,463
135,479,463
128,486,463
121,493,463
114,500,463
107,507,463
100,514,463
93,521,463
86,528,463
79,535,463
72,542,463
65,549,463
58,556,463
51,563,463
44,570,463
37,577,463
30,584,463
23,591,463
16,598,463
9,605,463
2,612,463
625,465,463
632,458,456
639,451,449
646,444,442
653,437,435
660,430,428
667,423,421
674,416,414
681,409,407
688,402,400
695,395,393
702,388,386
709,381,379
716,374,372
723,367,365
730,360,358
737,353,351
744,346,344
751,339,337
758,332,330
765,325,323
772,318,316
779,311,309
786,304,302
793,297,295
800,290,288
807,283,281
814,276,274
821,269,267
828,262,260
835,255,253
842,248,246
849,241,239
856,234,232
863,227,225
870,220,218
877,213,211
884,206,204
891,199,197
898,192,190
905,185,183
912,178,176
919,171,169
926,164,162
933,157,155
940,150,148
947,143,141
954,136,134
961,129,127
968,122,120
975,115,113
982,108,106
989,101,99
996,94,92
1003,87,85
1010,80,78
1017,73,71
1024,66,64
1031,59,57
1038,52,50
1045,45,50
1052,38,50
1059,31,50
1066,24,57
1073,17,64
1080,10,71
1087,3,78
1094,-4,85
1101,3,92
1108,10,99
1115,17,106
1122,24,113
